cityid;name_en;country_en;nominatim_query;country_code;population;center_lat;center_lon
oberhausen_de;Oberhausen;Germany;Oberhausen;DE;210829;51.51219;6.8522
odense_dk;Odense;Denmark;Odense Municipality;DK;204795;55.38171;10.37777
odessa_ua;Odessa;Ukraine;Odessa;UA;992874;46.47686;30.71621
offenbachammain_de;Offenbach Am Main;Germany;Offenbach Am Main;DE;128744;50.09764;8.78383
oldenburg_de;Oldenburg;Germany;Oldenburg;DE;168210;53.14279;8.21382
olomouc_cz;Olomouc;Czech Republic;Olomouc;CZ;106063;49.59494;17.25649
olsztyn_pl;Olsztyn;Poland;Olsztyn;PL;173624;53.77233;20.46494
opole_pl;Opole;Poland;Opole, Opole Voivodeship;PL;127198;50.67624;17.89952
orleans_fr;Orléans;France;Orléans;FR;114644;47.89578;1.90989
orsha_by;Orsha;Belarus;Orsha;BY;107645;54.51067;30.40146
osijek_hr;Osijek;Croatia;Osijek;HR;108048;45.54968;18.69611
oslo_no;Oslo;Norway;Oslo;NO;681067;59.97119;10.72619
osnabruck_de;Osnabrück;Germany;Osnabrück;DE;164748;52.28023;8.05402
ostrava_cz;Ostrava;Czech Republic;Ostrava;CZ;282450;49.82203;18.24243
oulu_fi;Oulu;Finland;Oulu;FI;207327;65.19326;25.93827
paderborn_de;Paderborn;Germany;Paderborn;DE;150580;51.73184;8.76524
padua_it;Padua;Italy;Padua, Padua;IT;208191;45.39829;11.89009
pamplonairuna_es;Pamplona/Iruña;Spain;Pamplona/Iruña;ES;203596;42.81352;-1.64977
paris_fr;Paris;France;Paris;FR;2206488;48.85898;2.32123
parla_es;Parla;Spain;Parla;ES;130550;40.23316;-3.76314
pavlograd_ua;Pavlograd;Ukraine;Pavlograd;UA;102373;48.52603;35.88838
peristeri_gr;Peristeri;Greece;Peristeri;GR;139981;38.0175;23.69517
perpignan_fr;Perpignan;France;Perpignan;FR;121934;42.69783;2.90546
pescara_it;Pescara;Italy;Pescara, Pescara;IT;118879;42.46062;14.20336
pforzheim_de;Pforzheim;Germany;Pforzheim;DE;125542;48.87773;8.71806
pilsen_cz;Pilsen;Czech Republic;Pilsen;CZ;174007;49.7428;13.36682
pinsk_by;Pinsk;Belarus;Pinsk;BY;126289;52.13128;26.06282
piraeus_gr;Piraeus;Greece;Πειραιάς;GR;163688;37.94556;23.65071
plock_pl;Plock;Poland;Plock;PL;117771;52.53177;19.71842
plovdiv_bg;Plovdiv;Bulgaria;Plovdiv, Plovdiv;BG;342048;42.14185;24.74921
plymouth_gb;Plymouth;United Kingdom;Plymouth;GB;234982;50.39058;-4.10966
podgorica_me;Podgorica;Montenegro;Podgorica;ME;185937;42.44034;19.25642
poltava_ua;Poltava;Ukraine;Poltava, Poltava;UA;272572;49.60138;34.55531
porto_pt;Porto;Portugal;Oporto;PT;231800;41.16225;-8.62418
portsmouth_gb;Portsmouth;United Kingdom;Portsmouth;GB;238137;50.81674;-1.07224
potsdam_de;Potsdam;Germany;Potsdam;DE;178089;52.41868;13.02157
poznan_pl;Poznan;Poland;Poznan;PL;533773;52.40071;16.91266
prague_cz;Prague;Czech Republic;Prague;CZ;1301432;50.05925;14.47647
prato_it;Prato;Italy;Prato, Prato;IT;198312;43.8833;11.08287
pristina_rs;Pristina;Kosovo;Pristina;RS;161751;42.65524;21.15361
pecs_hu;Pécs;Hungary;Pécs;HU;141040;46.07406;18.24138
