cityid,cov_ratio,l_ratio,gcc1,gcc2,gcc3
paderborn_de,0.62,0.45,0.37,0.07,0.04
padua_it,0.72,0.18,0.08,0.05,0.05
pamplonairuna_es,0.84,0.29,0.56,0.06,0.05
paris_fr,1.06,0.33,0.63,0.05,0.01
parla_es,0.60,0.09,0.45,0.15,0.08
pavlograd_ua,0.06,0.01,0.25,0.24,0.16
peristeri_gr,0.42,0.01,0.29,0.18,0.08
perpignan_fr,0.55,0.10,0.10,0.06,0.06
pescara_it,0.58,0.13,0.36,0.09,0.05
pforzheim_de,0.52,0.15,0.11,0.10,0.05
pilsen_cz,0.72,0.32,0.26,0.17,0.05
pinsk_by,0.44,0.12,0.17,0.09,0.08
piraeus_gr,0.40,0.01,0.28,0.14,0.12
plock_pl,0.55,0.31,0.40,0.25,0.04
plovdiv_bg,0.44,0.11,0.38,0.31,0.15
plymouth_gb,0.64,0.13,0.22,0.08,0.06
podgorica_me,0.14,0.04,0.52,0.19,0.16
poltava_ua,0.10,0.01,0.10,0.09,0.09
porto_pt,0.89,0.17,0.05,0.04,0.03
portsmouth_gb,0.66,0.11,0.24,0.23,0.05
potsdam_de,0.80,0.35,0.13,0.05,0.04
poznan_pl,0.73,0.36,0.40,0.02,0.02
prague_cz,0.71,0.19,0.03,0.02,0.02
prato_it,0.71,0.19,0.19,0.10,0.07
pristina_rs,0.33,0.04,0.23,0.16,0.07
pecs_hu,0.24,0.05,0.29,0.09,0.06
radom_pl,0.50,0.26,0.35,0.24,0.07
reading_gb,0.57,0.14,0.30,0.13,0.10
recklinghausen_de,0.85,0.42,0.27,0.26,0.06
regensburg_de,0.91,0.51,0.51,0.07,0.06
reims_fr,0.66,0.13,0.23,0.11,0.06
remscheid_de,0.47,0.11,0.14,0.10,0.08
rennes_fr,0.93,0.35,0.11,0.09,0.05
reutlingen_de,0.72,0.20,0.12,0.08,0.07
reykjavik_is,0.82,0.45,0.20,0.15,0.10
riga_lv,0.67,0.46,0.09,0.08,0.05
rijeka_hr,0.10,0.01,0.22,0.17,0.17
rivne_ua,0.13,0.04,0.29,0.21,0.20
rome_it,0.22,0.06,0.03,0.02,0.02
rostock_de,0.76,0.37,0.36,0.08,0.07
rotterdam_nl,0.94,0.35,0.87,0.01,0.01
rouen_fr,0.69,0.15,0.14,0.10,0.05
rudaslaska_pl,0.59,0.17,0.20,0.11,0.09
ruse_bg,0.17,0.05,0.43,0.21,0.07
rybnik_pl,0.61,0.26,0.13,0.05,0.05
rzeszow_pl,0.48,0.24,0.66,0.04,0.04
shertogenbosch_nl,0.81,0.36,0.65,0.05,0.04
saarbrucken_de,0.65,0.19,0.05,0.03,0.02
saintdenis_fr,0.86,0.25,0.15,0.15,0.08
saintetienne_fr,0.39,0.09,0.20,0.05,0.05
salamanca_es,0.65,0.25,0.67,0.07,0.04
salzburg_at,0.76,0.30,0.10,0.06,0.06
salzgitter_de,0.65,0.40,0.43,0.11,0.08
santacolomadegramenet_es,1.12,0.44,0.26,0.08,0.07
sarajevo_ba,0.23,0.04,0.22,0.07,0.07
schaerbeek_be,0.84,0.14,0.17,0.12,0.06
seville_es,0.71,0.22,0.80,0.03,0.01
sheffield_gb,0.45,0.10,0.09,0.06,0.03
siegen_de,0.56,0.11,0.08,0.05,0.03
skopje_mk,0.60,0.12,0.19,0.07,0.03
slovyansk_ua,0.07,0.01,0.23,0.21,0.16
sofia_bg,0.31,0.05,0.07,0.05,0.05
soligorsk_by,0.27,0.08,0.36,0.33,0.12
solingen_de,0.63,0.16,0.11,0.04,0.03
sosnowiec_pl,0.43,0.16,0.49,0.07,0.05
southampton_gb,0.71,0.12,0.10,0.09,0.08
split_hr,0.30,0.03,0.19,0.13,0.11
stockholm_se,0.98,0.54,0.72,0.04,0.01
stokeontrent_gb,0.60,0.13,0.22,0.20,0.06
strasbourg_fr,0.85,0.43,0.71,0.03,0.02
stuttgart_de,0.70,0.16,0.10,0.02,0.02
sumy_ua,0.13,0.03,0.20,0.13,0.08
szczecin_pl,0.63,0.33,0.34,0.07,0.04
szeged_hu,0.42,0.18,0.43,0.09,0.06
tallinn_ee,0.84,0.48,0.15,0.14,0.08
tampere_fi,0.35,0.51,0.91,0.01,0.01
tarnow_pl,0.56,0.25,0.49,0.07,0.04
ternopil_ua,0.13,0.03,0.35,0.16,0.13
thehague_nl,1.33,0.51,0.73,0.13,0.01
thessaloniki_gr,0.59,0.04,0.44,0.06,0.03
tilburg_nl,0.82,0.31,0.47,0.15,0.06
tirana_al,0.59,0.21,0.16,0.09,0.05
torrejondeardoz_es,0.63,0.14,0.62,0.06,0.06
torun_pl,0.82,0.42,0.66,0.01,0.01
toulon_fr,0.37,0.06,0.23,0.18,0.06
toulouse_fr,0.92,0.32,0.12,0.08,0.06
tours_fr,0.83,0.22,0.27,0.05,0.04
trier_de,0.63,0.31,0.24,0.09,0.06
turin_it,0.65,0.16,0.52,0.17,0.02
turku_fi,0.59,0.52,0.79,0.03,0.02
tychy_pl,0.58,0.26,0.71,0.14,0.05
ulm_de,0.76,0.40,0.13,0.08,0.07
umea_se,0.71,0.62,0.92,0.01,0.00
utrecht_nl,0.92,0.36,0.79,0.02,0.02
uzhhorod_ua,0.19,0.04,0.24,0.16,0.13
valencia_es,0.73,0.29,0.86,0.01,0.01
valladolid_es,0.67,0.23,0.31,0.28,0.04
vantaa_fi,0.81,0.78,0.94,0.00,0.00
varna_bg,0.32,0.06,0.11,0.09,0.08
vejle_dk,0.90,0.44,0.67,0.05,0.05
venice_it,0.83,0.28,0.10,0.07,0.06
venlo_nl,0.72,0.26,0.46,0.11,0.04
vienna_at,0.78,0.26,0.46,0.04,0.04
vigo_es,0.47,0.06,0.09,0.09,0.05
villeurbanne_fr,0.91,0.22,0.18,0.16,0.12
vilnius_lt,0.39,0.17,0.13,0.07,0.06
vinnytsia_ua,0.45,0.14,0.09,0.08,0.04
vitebsk_by,0.04,0.01,0.36,0.11,0.10
walbrzych_pl,0.47,0.17,0.31,0.19,0.11
warsaw_pl,0.75,0.32,0.50,0.02,0.01
westland_nl,0.81,0.32,0.47,0.08,0.04
wiesbaden_de,0.59,0.12,0.07,0.03,0.02
winterthur_ch,0.61,0.25,0.04,0.04,0.04
wloclawek_pl,0.68,0.33,0.54,0.06,0.06
wolfsburg_de,0.81,0.40,0.62,0.04,0.02
wolverhampton_gb,0.48,0.10,0.56,0.06,0.04
wroclaw_pl,0.80,0.45,0.56,0.02,0.02
wuppertal_de,0.65,0.15,0.10,0.06,0.04
wurzburg_de,0.70,0.30,0.17,0.10,0.07
zaanstad_nl,0.80,0.34,0.60,0.02,0.01
zabrze_pl,0.58,0.24,0.21,0.12,0.09
zagreb_hr,0.53,0.17,0.15,0.04,0.04
zaporizhzhia_ua,0.14,0.03,0.14,0.07,0.06
zhytomyr_ua,0.75,0.24,0.03,0.02,0.02
zielonagora_pl,0.43,0.22,0.51,0.05,0.04
zoetermeer_nl,1.14,0.64,0.76,0.03,0.01
zurich_ch,0.93,0.19,0.03,0.03,0.03
zwolle_nl,0.76,0.35,0.39,0.10,0.04
siauliai_lt,0.65,0.32,0.50,0.09,0.05
