name_en;country_en;nominatim_query;country_code;population
Poltava;Ukraine;Poltava, Poltava;UA;272572.0
Porto;Portugal;Oporto;PT;231800.0
Portsmouth;United Kingdom;Portsmouth;GB;238137.0
Potsdam;Germany;Potsdam;DE;178089.0
Poznan;Poland;Poznan;PL;533773.0
Prague;Czech Republic;Prague;CZ;1301432.0
Prato;Italy;Prato, Prato;IT;198312.0
Pristina;Kosovo;Pristina;RS;161751.0
Pécs;Hungary;Pécs;HU;141040.0
Radom;Poland;Radom;PL;208587.0
Reading;United Kingdom;Reading;GB;218705.0
Recklinghausen;Germany;Recklinghausen;DE;112267.0
Regensburg;Germany;Regensburg;DE;152610.0
Reims;France;Reims;FR;184076.0
Remscheid;Germany;Remscheid;DE;110994.0
Rennes;France;Rennes;FR;215366.0
Reutlingen;Germany;Reutlingen;DE;115966.0
Reykjavík;Iceland;Reykjavík;IS;129964.0
Riga;Latvia;Riga;LV;614618.0
Rijeka;Croatia;Rijeka;HR;128624.0
Rivne;Ukraine;Rivne, Rivne;UA;240451.0
Rome;Italy;Rome;IT;2759629.0
Rostock;Germany;Rostock;DE;208886.0
Rotterdam;Netherlands;Rotterdam;NL;623652.0
Rouen;France;Rouen;FR;110169.0
Ruda Slaska;Poland;Ruda Slaska;PL;135965.0
Ruse;Bulgaria;Ruse;BG;135440.0
Rybnik;Poland;Rybnik;PL;136299.0
Rzeszów;Poland;Rzeszów;PL;194775.0
S-Hertogenbosch;Netherlands;S-Hertogenbosch;NL;150889.0
Saarbrücken;Germany;Saarbrücken;DE;180741.0
Saint-Denis;France;Saint-Denis;FR;111103.0
Saint-Étienne;France;Saint-Étienne;FR;171057.0
Salamanca;Spain;Salamanca;ES;143549.0
Salzburg;Austria;Salzburg;AT;154211.0
Salzgitter;Germany;Salzgitter;DE;104948.0
Santa Coloma De Gramenet;Spain;Santa Coloma De Gramenet;ES;118489.0
Sarajevo;Bosnia and Herzegovina;Sarajevo;BA;348363.0
Schaerbeek;Belgium;Schaerbeek;BE;127525.0
Seville;Spain;Seville;ES;684340.0
Sheffield;United Kingdom;Sheffield;GB;518090.0
Siegen;Germany;Siegen, Germany;DE;102836.0
Skopje;North Macedonia;Skopje;MK;546824.0
Slovyansk;Ukraine;Slovyansk;UA;103029.0
Sofia;Bulgaria;Sofia;BG;1221785.0
Soligorsk;Belarus;Soligorsk;BY;101525.0
Solingen;Germany;Solingen;DE;159360.0
Sosnowiec;Poland;Sosnowiec;PL;197563.0
Southampton;United Kingdom;Southampton;GB;253651.0
Split;Croatia;Split;HR;178102.0
Stockholm;Sweden;Stockholm;SE;789024.0
Stoke-On-Trent;United Kingdom;Stoke-On-Trent;GB;270726.0
Strasbourg;France;Strasbourg;FR;277270.0
Stuttgart;Germany;Stuttgart;DE;634830.0
Sumy;Ukraine;Sumy, Sumy;UA;255672.0
Szczecin;Poland;Szczecin;PL;399831.0
Szeged;Hungary;Szeged;HU;159666.0
Tallinn;Estonia;Tallinn;EE;437817.0
Tampere;Finland;Tampere;FI;241009.0
Tarnów;Poland;Tarnów;PL;105101.0
Ternopil;Ukraine;Ternopil, Ternopil;UA;223522.0
The Hague;Netherlands;The Hague;NL;514861.0
Thessaloniki;Greece;Thessaloniki Municipal Unit;GR;315196.0
Tilburg;Netherlands;Tilburg;NL;211648.0
Tirana;Albania;Tirana;AL;418495.0
Torrejón De Ardoz;Spain;Torrejón De Ardoz;ES;133377.0
Torun;Poland;Torun;PL;198628.0
Toulon;France;Toulon;FR;167479.0
Toulouse;France;Toulouse;FR;471941.0
Tours;France;Tours;FR;136252.0
Trier;Germany;Trier;DE;110636.0
Turin;Italy;Turin;IT;853477.0
Turku;Finland;Turku;FI;194391.0
Tychy;Poland;Tychy;PL;125892.0
Ulm;Germany;Ulm;DE;126329.0
Umeå;Sweden;Umeå;SE;111503.0
Utrecht;Netherlands;Utrecht;NL;334176.0
Uzhhorod;Ukraine;Uzhhorod Urban Hromada;UA;113889.0
Valencia;Spain;Valencia;ES;788842.0
Valladolid;Spain;Valladolid;ES;297370.0
Vantaa;Finland;Vantaa;FI;237231.0
Varna;Bulgaria;Varna;BG;332394.0
Vejle;Denmark;;DK;118028.0
Venice;Italy;Venice;IT;254014.0
Venlo;Netherlands;Venlo;NL;100536.0
Vienna;Austria;Vienna;AT;1897491.0
Vigo;Spain;Vigo;ES;294650.0
Villeurbanne;France;Villeurbanne;FR;148665.0
Vilnius;Lithuania;Vilnius;LT;546155.0
Vinnytsia;Ukraine;Vinnytsia, Vinnytsia;UA;367901.0
Vitebsk;Belarus;Vitebsk, Vitebsk;BY;364862.0
Walbrzych;Poland;Walbrzych;PL;109252.0
Warsaw;Poland;Warsaw;PL;1792692.0
Westland;Netherlands;Westland, Netherlands;NL;104302.0
Wiesbaden;Germany;Wiesbaden;DE;278342.0
Winterthur;Switzerland;Winterthur;CH;115129.0
Wloclawek;Poland;Wloclawek;PL;107796.0
Wolfsburg;Germany;Wolfsburg;DE;124151.0
Wolverhampton;United Kingdom;Wolverhampton;GB;210319.0
Wroclaw;Poland;Wroclaw;PL;642473.0
Wuppertal;Germany;Wuppertal;DE;354382.0
Würzburg;Germany;Würzburg;DE;127880.0
Zaanstad;Netherlands;Zaanstad;NL;151418.0
Zabrze;Poland;Zabrze;PL;169736.0
Zagreb;Croatia;Zagreb city;HR;790017.0
Zaporizhzhia;Ukraine;Zaporizhzhia;UA;706116.0
Zhytomyr;Ukraine;Zhytomyr, Zhytomyr;UA;260367.0
Zielona Góra;Poland;Zielona Góra;PL;141631.0
Zoetermeer;Netherlands;Zoetermeer;NL;124025.0
Zurich;Switzerland;Zurich;CH;423193.0
Zwolle;Netherlands;Zwolle;NL;123861.0
Šiauliai;Lithuania;Šiauliai;LT;100653.0
