name_en,country_en,nominatim_query,name,alpha-2,population
Odense,Denmark,Odense,Odense,DK,204795
Odessa,Ukraine,Odessa,Odessa,UA,992874
Offenbach Am Main,Germany,Offenbach Am Main,Offenbach Am Main,DE,128744
Oldenburg,Germany,Oldenburg,Oldenburg,DE,168210
Olomouc,Czech Republic,Olomouc,Olomouc,CZ,106063
Olsztyn,Poland,Olsztyn,Olsztyn,PL,173624
Opole,Poland,Opole,Opole,PL,127198
Orebro,Sweden,Orebro,Orebro,SE,129703
Orléans,France,Orléans,Orléans,FR,114644
Orsha,Belarus,Orsha,Orsha,BY,107645
Osijek,Croatia,Osijek,Osijek,HR,108048
Osnabrück,Germany,Osnabrück,Osnabrück,DE,164748
Ostrava,Czech Republic,Ostrava,Ostrava,CZ,282450
Oulu,Finland,Oulu,Oulu,FI,207327
Ourense,Spain,Ourense,Ourense,ES,104578
Oviedo,Spain,Oviedo,Oviedo,ES,217164
Paderborn,Germany,Paderborn,Paderborn,DE,150580
Padua,Italy,Padua,Padova,IT,208191
Palermo,Italy,Palermo,Palermo,IT,636662
Palma,Spain,Palma,Palma,ES,424837
Pamplona/Iruña,Spain,Pamplona/Iruña,Pamplona/Iruña,ES,203596
Parla,Spain,Parla,Parla,ES,130550
Parma,Italy,Parma,Parma,IT,195717
Patras,Greece,Patras,Patrai,GR,167446
Pavlograd,Ukraine,Pavlograd,Pavlograd,UA,102373
Perpignan,France,Perpignan,Perpignan,FR,121934
Perugia,Italy,Perugia,Perugia,IT,163542
Pescara,Italy,Pescara,Pescara,IT,118879
Pforzheim,Germany,Pforzheim,Pforzheim,DE,125542
Piacenza,Italy,Piacenza,Piacenza,IT,102548
Pilsen,Czech Republic,Pilsen,Plzen,CZ,174007
Pinsk,Belarus,Pinsk,Pinsk,BY,126289
Piraeus,Greece,Piraeus,Pireas,GR,163688
Plock,Poland,Plock,Plock,PL,117771
Plovdiv,Bulgaria,Plovdiv,Plovdiv,BG,342048
Plymouth,United Kingdom,Plymouth,Plymouth,GB,234982
Poltava,Ukraine,Poltava,Poltava,UA,272572
Porto,Portugal,Porto,Porto,PT,231800
Portsmouth,United Kingdom,Portsmouth,Portsmouth,GB,238137
Potsdam,Germany,Potsdam,Potsdam,DE,178089
Poznan,Poland,Poznan,Poznan,PL,533773
Prato,Italy,Prato,Prato,IT,198312
Pécs,Hungary,Pécs,Pécs,HU,141040
Pésterion,Greece,Pésterion,Pésterion,GR,139981
Radom,Poland,Radom,Radom,PL,208587
